events,launch_speed,launch_angle,HR
sac_bunt,40.6,-66,0
single,110.5,8,0
field_out,77.4,29,0
field_out,85.80000000000001,74,0
single,67.9,13,0
field_out,85.10000000000001,35,0
field_out,92.9,44,0
single,85.7,2,0
field_out,94.7,49,0
home_run,94.3,33,1
double,100.1,19,0
single,91.4,-2,0
field_out,99.6,35,0
single,71.3,17,0
field_out,85.9,0,0
field_out,100.2,49,0
single,61.1,-32,0
single,93.8,11,0
field_out,63.5,72,0
field_out,97.8,-9,0
field_out,77.10000000000001,18,0
field_out,91.4,34,0
field_out,80.7,70,0
home_run,99.4,26,1
field_out,78.60000000000001,-6,0
field_out,104.5,6,0
home_run,101.8,25,1
double,99.6,10,0
field_out,85,-5,0
field_out,96.9,23,0
single,106.2,6,0
double,102.3,18,0
field_out,101,37,0
double,99.8,-10,0
home_run,104.3,32,1
home_run,99.3,27,1
double,57.2,-55,0
field_out,98.2,27,0
field_out,35.5,-45,0
single,66.3,38,0
field_out,80.7,36,0
field_out,89.60000000000001,51,0
single,91.4,12,0
field_out,100.1,21,0
single,66.3,-56,0
single,97,-8,0
field_out,96.7,41,0
field_out,95.6,44,0
field_out,95.2,66,0
home_run,105.5,28,1
field_out,88.9,-12,0
single,98.2,-23,0
single,84.2,25,0
single,104.1,-5,0
field_out,75.10000000000001,47,0
field_out,89.10000000000001,38,0
field_out,85.80000000000001,38,0
single,101,-11,0
single,91.7,0,0
field_out,85.30000000000001,-28,0
field_out,89.80000000000001,46,0
single,104.4,3,0
field_out,66.8,65,0
field_out,90.3,-41,0
field_out,87.5,-23,0
single,93.6,14,0
field_out,108.1,-22,0
field_out,91.9,-21,0
field_out,85.80000000000001,-9,0
single,105.3,15,0
field_out,78.2,48,0
double,104.4,15,0
single,108.9,-3,0
field_out,74.2,-31,0
double,103.7,19,0
field_out,95.7,35,0
field_out,100.5,-18,0
single,72,-8,0
single,103.9,-2,0
double,97.7,18,0
single,89.10000000000001,18,0
field_out,98.3,-23,0
field_out,102.1,19,0
field_out,92.4,6,0
single,96.9,17,0
field_out,105.1,-24,0
field_out,109.9,16,0
home_run,101.3,26,1
field_out,96.5,-7,0
field_out,68.5,-44,0
field_out,95.1,33,0
single,98,19,0
field_out,69.10000000000001,37,0
field_out,104.4,0,0
grounded_into_double_play,99,0,0
field_out,73.2,-20,0
field_out,68.9,15,0
single,100,15,0
field_out,86,31,0
home_run,117.4,22,1
field_out,62.900000000000006,-21,0
home_run,107.3,37,1
field_out,86.4,-36,0
field_out,99.5,-9,0
field_out,83.80000000000001,0,0
field_out,83.7,-3,0
field_out,94.9,-6,0
field_out,66.4,-38,0
triple,86.5,23,0
field_out,97.8,-31,0
single,83.4,13,0
single,74.4,-59,0
force_out,64.7,-46,0
field_out,100.9,13,0
grounded_into_double_play,94.2,-27,0
field_out,64.2,18,0
field_out,68.5,-39,0
field_out,74.7,-27,0
field_out,72,63,0
force_out,91.6,-31,0
home_run,109.9,32,1
field_out,78.10000000000001,-40,0
grounded_into_double_play,59.400000000000006,-3,0
field_out,52.1,58,0
field_out,55.1,-43,0
single,80.9,4,0
single,88.2,17,0
field_out,94.8,16,0
single,87.4,14,0
single,101.3,15,0
field_out,84.4,26,0
double,91.2,27,0
field_out,94,-4,0
field_out,77.2,-39,0
single,80.10000000000001,24,0
field_out,69.3,-16,0
double,102.7,16,0
field_out,79.60000000000001,7,0
field_out,83.7,-8,0
single,96.2,-7,0
home_run,105.1,29,1
field_out,89.60000000000001,-8,0
force_out,86.2,-23,0
field_out,62.1,6,0
single,118.3,9,0
field_out,77.80000000000001,5,0
single,47.400000000000006,-55,0
single,97.9,-4,0
field_out,71,-11,0
single,111.2,6,0
field_out,84.4,-26,0
field_out,72.2,-25,0
field_out,92.3,18,0
field_out,94.3,-42,0
single,76.2,2,0
single,74.60000000000001,31,0
home_run,104.7,25,1
double_play,105.3,9,0
single,103.8,-2,0
double,91.1,13,0
field_out,32.1,11,0
field_out,112.5,-7,0
field_out,99.8,4,0
single,107.5,19,0
field_out,93.2,-20,0
field_out,83.4,31,0
field_out,100.2,8,0
single,100.9,6,0
field_out,80.2,24,0
single,82.7,12,0
sac_bunt,43.900000000000006,-81,0
grounded_into_double_play,86.60000000000001,-28,0
sac_fly,97.4,20,0
field_out,74.4,15,0
field_out,107.9,4,0
single,84.10000000000001,12,0
field_out,92.4,8,0
field_out,101,38,0
field_out,82.80000000000001,-34,0
home_run,105.3,25,1
field_out,75,0,0
field_out,75.9,-56,0
force_out,92.4,-7,0
field_out,94.6,-17,0
single,81.9,13,0
field_out,107.4,-5,0
field_out,108.8,1,0
field_out,63.1,16,0
home_run,98.6,30,1
single,90.4,0,0
home_run,101.9,38,1
field_out,59.2,-65,0
field_out,95.9,25,0
field_out,72,71,0
field_out,87.80000000000001,72,0
field_out,106.9,20,0
field_out,61.8,11,0
field_out,87.7,35,0
single,88.7,17,0
field_out,113.8,-2,0
field_out,90.9,42,0
field_out,104.5,5,0
grounded_into_double_play,90.5,-7,0
field_out,98.5,9,0
field_out,83.9,71,0
sac_bunt,27.1,-53,0
field_out,97.8,23,0
field_out,79,11,0
field_out,90.3,31,0
field_out,49.400000000000006,-27,0
field_out,92.9,45,0
home_run,110,37,1
double,77.9,28,0
double_play,78.9,29,0
field_out,76,-29,0
home_run,101.9,29,1
single,92.4,14,0
double,102.4,28,0
home_run,101.7,27,1
field_out,86.9,77,0
field_out,64.7,45,0
double,102.2,21,0
field_out,82.7,9,0
field_out,106.6,13,0
single,70.60000000000001,35,0
single,99.7,7,0
field_out,96.8,24,0
double,95.2,18,0
field_out,72.9,37,0
field_out,105.8,-16,0
single,100,4,0
field_out,90.4,51,0
fielders_choice,75.5,-10,0
field_out,88.4,-31,0
single,98.6,14,0
single,62.900000000000006,33,0
field_out,70.7,71,0
field_out,87.2,-27,0
single,72.4,26,0
field_out,78.30000000000001,-8,0
field_error,82.2,-44,0
force_out,73.4,2,0
field_out,83.2,-11,0
single,102.5,4,0
field_out,91.3,-23,0
field_out,90,35,0
single,103.9,4,0
force_out,92.6,-21,0
sac_fly,99.5,25,0
single,99.8,-13,0
field_out,90.3,9,0
field_out,81.2,48,0
force_out,77.30000000000001,-30,0
field_out,75.5,-18,0
single,90.5,12,0
single,110.2,-3,0
field_out,103.3,28,0
field_out,95.9,-1,0
field_out,70.4,-47,0
field_out,89.80000000000001,56,0
field_out,93.2,24,0
field_out,92,-3,0
field_out,86.2,68,0
field_error,82.30000000000001,12,0
field_out,86.10000000000001,36,0
field_out,91.6,6,0
field_out,101.3,-1,0
field_out,62.3,-51,0
field_out,82.4,64,0
single,92.7,11,0
field_out,73.2,-15,0
field_out,64.9,-37,0
field_out,93.7,18,0
double,106.7,11,0
field_out,78.80000000000001,67,0
field_out,100.5,24,0
field_out,86.10000000000001,62,0
field_out,92.3,41,0
single,93.4,15,0
single,101.7,13,0
field_out,93.8,26,0
field_out,98,29,0
field_out,107.4,8,0
field_out,98.9,18,0
field_out,72,-17,0
force_out,85.7,-26,0
single,100.7,8,0
single,100.4,5,0
single,66.9,37,0
field_out,84.30000000000001,36,0
field_out,107.7,20,0
field_out,84.7,59,0
grounded_into_double_play,64.4,-15,0
single,69.9,-17,0
field_out,55.2,58,0
field_out,62.6,-17,0
field_out,78.2,31,0
field_out,103.2,-6,0
field_out,83.2,70,0
single,104.1,6,0
single,100.7,8,0
field_out,71.60000000000001,7,0
sac_fly,98.6,29,0
field_out,67.3,63,0
single,108.7,12,0
field_out,100.5,-12,0
single,90.9,19,0
field_out,94.4,41,0
field_out,80.10000000000001,77,0
field_out,84.4,-24,0
field_out,79.2,27,0
force_out,91.7,-7,0
single,103.3,-5,0
single,98.8,10,0
field_out,94.3,22,0
home_run,110.9,21,1
double,101.4,19,0
field_out,84.30000000000001,47,0
double,103.4,16,0
field_out,99.7,20,0
field_out,102.3,20,0
grounded_into_double_play,102.2,-6,0
sac_bunt,40.3,-64,0
single,86.9,-1,0
field_out,88.80000000000001,31,0
field_out,98.5,5,0
field_out,82.7,68,0
field_out,75.2,35,0
field_out,81.60000000000001,60,0
field_out,89.7,17,0
single,105.1,17,0
field_out,81.60000000000001,31,0
single,73.10000000000001,18,0
field_out,91.8,33,0
sac_fly,85.7,43,0
field_out,93.3,21,0
double,94.4,18,0
single,77.5,-4,0
field_out,61.5,-53,0
field_out,73.4,35,0
home_run,103.4,39,1
field_out,85.10000000000001,20,0
double,75.7,52,0
field_out,82.2,33,0
field_out,101.4,6,0
field_out,81.5,40,0
double,90,-1,0
field_out,77.30000000000001,57,0
single,66,25,0
field_out,83.30000000000001,48,0
single,94.7,15,0
field_out,93.1,-21,0
double,70.9,21,0
field_error,80.4,-12,0
field_out,84.80000000000001,-3,0
field_out,87.60000000000001,32,0
single,97.8,12,0
field_out,102.6,18,0
field_out,95.9,38,0
double,111.2,21,0
single,92.3,6,0
field_out,83.7,-6,0
field_out,95.5,29,0
single,93.6,19,0
field_out,105.7,30,0
single,66.5,43,0
field_out,102.5,7,0
single,98.9,7,0
field_out,69.9,42,0
field_out,88.7,61,0
single,86.2,11,0
grounded_into_double_play,101.5,-4,0
single,104.8,-1,0
field_out,78.10000000000001,53,0
home_run,103.4,29,1
double,98.9,13,0
field_out,89.60000000000001,36,0
triple,100.6,29,0
grounded_into_double_play,93.8,-11,0
single,90.6,6,0
field_out,108.9,19,0
field_out,94.4,29,0
field_out,84.4,24,0
single,81.2,19,0
field_out,64.7,-28,0
field_out,79.5,5,0
field_out,82.30000000000001,-14,0
field_out,87.2,38,0
single,101.7,5,0
field_out,76.60000000000001,76,0
field_out,88,-3,0
field_out,97.6,27,0
field_out,73.3,-14,0
field_out,86.4,57,0
field_out,76,57,0
field_out,92.8,37,0
single,97.4,3,0
field_out,90.8,79,0
double,104.4,17,0
field_out,87.5,27,0
single,68.2,23,0
field_out,90.1,-19,0
field_out,103.1,1,0
field_out,89.80000000000001,27,0
field_out,80.2,43,0
home_run,99.6,29,1
home_run,101.6,30,1
field_out,80.7,32,0
field_out,85.9,58,0
field_out,73.9,53,0
field_out,84.5,67,0
field_out,79.10000000000001,72,0
field_out,61.1,50,0
field_out,100.6,38,0
field_out,82.9,61,0
field_out,75.60000000000001,79,0
field_out,100.1,2,0
field_out,78.7,37,0
field_out,88.9,4,0
field_out,92.3,24,0
field_out,85.80000000000001,29,0
field_out,91.8,-5,0
field_out,93.6,34,0
single,110.9,-9,0
field_out,95.3,27,0
field_out,81.5,-17,0
single,100,-6,0
field_out,90.4,44,0
single,79.10000000000001,14,0
field_out,87.10000000000001,12,0
single,104.5,4,0
double,90,0,0
double,91.8,12,0
single,109.1,11,0
field_out,96.5,80,0
field_out,59.2,-4,0
field_out,102.4,-8,0
field_out,78.5,27,0
field_out,74.5,0,0
field_out,94.3,56,0
field_out,107.1,9,0
field_out,103.2,16,0
home_run,107.8,30,1
field_out,76.80000000000001,-16,0
field_out,95.8,49,0
field_out,72.7,46,0
field_out,101.7,55,0
field_out,47.1,-60,0
field_out,82.7,59,0
field_out,65.4,84,0
single,68.2,22,0
single,105.2,1,0
force_out,98.5,-1,0
force_out,100,-22,0
home_run,104.5,32,1
force_out,87.4,-7,0
field_out,80,48,0
field_out,72.9,64,0
single,72.60000000000001,15,0
field_out,109.8,-12,0
field_out,59.8,59,0
force_out,72.7,-26,0
single,107.2,11,0
field_out,98.6,16,0
single,87.60000000000001,0,0
home_run,108.1,30,1
field_out,90,-13,0
home_run,107.4,26,1
field_out,100.7,33,0
field_out,102.7,-21,0
single,77.60000000000001,-44,0
field_out,102.3,17,0
field_out,61.2,18,0
single,98.6,5,0
sac_bunt,24.5,-88,0
field_out,80.4,61,0
field_out,71.3,68,0
single,96.4,-1,0
field_out,88,31,0
field_out,103.1,-16,0
single,65.10000000000001,27,0
field_out,100.9,-7,0
field_out,113,16,0
home_run,110.3,24,1
single,100.5,-16,0
force_out,105.2,-14,0
field_out,104.6,-1,0
field_out,62.5,14,0
field_out,81.60000000000001,-31,0
single,100.5,5,0
field_out,69.60000000000001,-1,0
field_out,84.30000000000001,-1,0
single,39.900000000000006,22,0
double,108.3,15,0
field_out,73.10000000000001,-2,0
home_run,100.8,34,1
field_out,89.2,25,0
field_out,99.2,21,0
home_run,104.9,30,1
force_out,101.2,1,0
single,100.3,0,0
grounded_into_double_play,98.9,-12,0
field_out,81.9,78,0
single,102.2,6,0
home_run,109.1,29,1
field_out,59.900000000000006,-34,0
field_out,75.3,84,0
single,46,45,0
field_out,94.6,-4,0
single,87,19,0
home_run,101.9,29,1
single,106.4,9,0
force_out,97.3,-8,0
field_out,61.400000000000006,52,0
single,104.1,-5,0
field_out,90.1,-20,0
field_out,83.9,26,0
grounded_into_double_play,84.7,-18,0
field_out,97.1,19,0
field_out,78.7,-1,0
field_out,94.4,-9,0
field_out,88.7,31,0
single,109.1,-8,0
single,101,15,0
field_out,82.9,-26,0
field_out,74.9,-6,0
sac_fly,84.9,26,0
single,96.8,16,0
field_out,69,-29,0
double,101.8,21,0
single,70.10000000000001,10,0
single,84.10000000000001,10,0
field_out,86,23,0
field_out,96.9,24,0
field_out,78.10000000000001,36,0
triple,105.4,16,0
single,109.7,-5,0
field_out,75.60000000000001,-8,0
home_run,102.6,35,1
single,97.9,8,0
field_out,71,78,0
field_out,86.4,-7,0
field_out,86.5,43,0
field_out,84.80000000000001,45,0
grounded_into_double_play,90.1,3,0
field_out,88.5,58,0
single,74.2,25,0
grounded_into_double_play,101.5,-18,0
field_out,78.10000000000001,32,0
field_out,93.1,49,0
field_out,97.7,-12,0
field_out,78.9,52,0
single,97,11,0
field_out,91.1,63,0
field_out,70.2,-5,0
field_out,91.9,64,0
field_out,102.5,19,0
home_run,105.7,26,1
field_out,76.2,-23,0
field_out,72,50,0
field_out,96.7,28,0
field_out,88.80000000000001,40,0
field_out,95.6,-2,0
force_out,70.3,-17,0
single,81.2,22,0
field_out,104.3,42,0
home_run,113.4,28,1
home_run,94,30,1
single,91.3,20,0
single,93.5,4,0
single,74.60000000000001,14,0
field_out,96.5,30,0
field_out,103.4,37,0
field_out,81.9,26,0
field_out,70.60000000000001,-12,0
fielders_choice,71.60000000000001,0,0
field_out,77.5,68,0
single,95.4,6,0
single,91.2,12,0
single,91.5,-3,0
field_out,94.6,20,0
field_out,82.7,-32,0
field_out,95.4,1,0
field_out,97,22,0
double_play,99.7,10,0
grounded_into_double_play,85.7,0,0
single,104.7,14,0
single,93,20,0
force_out,74.60000000000001,2,0
fielders_choice_out,100.1,5,0
field_out,84.10000000000001,77,0
force_out,110.2,6,0
single,101.8,10,0
field_out,91.2,10,0
field_out,106.7,-25,0
double,91.8,10,0
single,88,13,0
field_out,81.60000000000001,71,0
single,72.5,15,0
field_out,94,28,0
single,103.4,10,0
force_out,96.4,-23,0
force_out,71.8,-17,0
grounded_into_double_play,76.60000000000001,-3,0
grounded_into_double_play,71.60000000000001,-7,0
grounded_into_double_play,70.9,-19,0
field_out,95.7,5,0
field_out,95.7,33,0
single,82.5,5,0
single,103.9,13,0
single,55.7,9,0
field_out,103.7,-14,0
field_out,84,42,0
field_out,95,40,0
force_out,100.5,-8,0
double,106.2,22,0
single,91.9,16,0
field_out,82.60000000000001,60,0
single,96.2,13,0
home_run,102.6,43,1
home_run,104,32,1
field_out,97.4,-10,0
single,88.60000000000001,18,0
single,100.9,8,0
single,106.1,12,0
single,90.6,13,0
field_out,74.4,37,0
field_out,74.3,87,0
double,99.7,6,0
field_out,85.2,39,0
double,102.8,24,0
field_out,100.7,23,0
field_out,92.5,32,0
field_out,65.5,-36,0
double,101.9,26,0
field_out,68.60000000000001,-17,0
double,103.6,19,0
single,108.9,-22,0
field_out,47,2,0
field_out,103.3,-3,0
home_run,111.4,22,1
field_out,70.4,-9,0
field_out,50.5,-8,0
field_out,98.5,-17,0
double,97.3,24,0
field_out,92.2,43,0
single,63,-49,0
field_out,94.4,50,0
field_out,89.9,27,0
field_out,99.7,1,0
field_out,71,52,0
single,106.1,9,0
field_out,88.9,23,0
field_out,105.8,18,0
single,74.8,24,0
double,95.2,19,0
field_out,76.5,1,0
field_out,94.5,20,0
field_out,90.9,-1,0
single,104.6,16,0
field_out,98.2,16,0
field_out,99.4,2,0
single,100.6,17,0
field_out,96.4,38,0
field_out,82.80000000000001,-52,0
single,71.2,24,0
field_out,85.10000000000001,65,0
field_out,96.1,29,0
field_out,89.2,24,0
field_out,90.9,13,0
double,92.8,37,0
field_out,69.10000000000001,69,0
field_out,67.9,65,0
field_out,68.60000000000001,-50,0
field_out,90.7,36,0
field_out,57,-70,0
field_out,104.4,1,0
single,106.4,-4,0
single,67.7,22,0
field_out,106.7,8,0
field_out,98.4,-9,0
single,90.7,21,0
single,71.8,-58,0
home_run,98.1,26,1
field_out,54.6,-63,0
field_error,80.5,7,0
field_out,86.30000000000001,31,0
field_out,81.60000000000001,-16,0
force_out,57.1,-32,0
home_run,106.9,31,1
single,108,13,0
field_out,104.2,10,0
field_out,72.3,-38,0
single,75,3,0
field_out,73.3,60,0
home_run,112.4,30,1
triple,106.2,11,0
field_out,98.8,8,0
home_run,104.5,28,1
single,96.9,-6,0
single,75.60000000000001,13,0
force_out,97.2,-34,0
field_out,101.2,4,0
field_out,64.4,76,0
field_out,96,-18,0
double,110.6,2,0
grounded_into_double_play,103.5,0,0
double,107.7,12,0
field_out,105.1,-4,0
force_out,64.7,6,0
field_out,98.7,-10,0
field_out,77.2,-48,0
field_out,83.30000000000001,-18,0
field_out,94.4,30,0
field_out,80.30000000000001,62,0
field_out,97.1,3,0
field_out,85.60000000000001,28,0
field_out,69.2,62,0
single,108.2,5,0
single,86.80000000000001,8,0
field_out,91,19,0
field_out,91.1,55,0
single,89.80000000000001,-3,0
field_out,91.4,25,0
field_out,68.4,-13,0
field_out,100.7,-23,0
field_out,34.800000000000004,-37,0
field_out,99.8,28,0
home_run,99.4,38,1
force_out,59.8,-4,0
field_out,86.80000000000001,-21,0
field_out,60.1,16,0
field_out,108.2,-16,0
field_out,70.4,43,0
double,95.7,20,0
field_out,84.9,26,0
force_out,102.1,5,0
single,97.9,7,0
sac_fly,93.6,26,0
field_out,43.900000000000006,-72,0
field_out,90.1,60,0
single,103.2,-3,0
field_out,65.7,-15,0
single,101.7,-10,0
field_out,99.2,38,0
field_out,46.1,-46,0
field_out,84.30000000000001,3,0
field_out,93.3,23,0
single,69.7,29,0
field_out,104.6,18,0
field_out,87.2,4,0
single,100.2,-2,0
field_out,100.4,-6,0
field_out,96.9,-25,0
single,72.4,1,0
single,112.4,1,0
field_out,81.60000000000001,-22,0
field_out,104.5,44,0
field_out,98.8,-18,0
field_out,98.2,-7,0
field_out,81.9,32,0
field_error,88.2,-26,0
single,99.5,-1,0
force_out,88.60000000000001,-17,0
field_out,73.2,70,0
double,72.60000000000001,-18,0
single,20.700000000000003,-14,0
grounded_into_double_play,98,-17,0
field_out,83.30000000000001,-49,0
field_out,71.4,-50,0
field_out,93.9,40,0
field_out,96.6,39,0
field_out,110.4,12,0
single,109.3,-2,0
field_out,99.1,16,0
field_out,64.60000000000001,12,0
field_out,69.5,57,0
field_out,71.10000000000001,-54,0
field_out,92.9,44,0
single,79.10000000000001,6,0
single,81.9,17,0
single,98.7,-21,0
single,104.5,-1,0
field_out,60.8,-22,0
home_run,100.9,30,1
field_out,70.9,62,0
field_out,72.8,1,0
field_out,98.9,37,0
field_out,85.5,-14,0
field_out,100.5,-9,0
single,96.7,-32,0
single,96.7,9,0
field_out,108.1,21,0
field_out,67.8,43,0
single,76.7,21,0
double,100.2,15,0
single,106.7,8,0
single,103.8,1,0
field_out,70.10000000000001,62,0
double,89.10000000000001,24,0
single,50.7,-68,0
single,99.4,14,0
field_out,100.1,-23,0
single,72.7,-73,0
single,105.3,12,0
field_out,94.1,62,0
field_out,56.6,42,0
single,33.2,-74,0
field_out,64.4,-8,0
single,91.1,13,0
field_out,55.7,11,0
home_run,104.2,31,1
field_out,92.8,-39,0
field_out,76.9,-21,0
field_out,60.1,36,0
double,103.6,22,0
field_out,71.5,-64,0
single,100.1,14,0
force_out,74.4,-29,0
double,89.2,13,0
single,90.7,15,0
field_out,47.5,-67,0
field_out,96.7,-33,0
field_out,76,-38,0
double,105.7,26,0
field_out,99.3,29,0
single,109,5,0
single,66.2,20,0
single,74.3,5,0
field_out,103.9,40,0
home_run,96,32,1
force_out,68.4,-8,0
field_out,81.80000000000001,-18,0
field_out,57.6,3,0
field_out,73.5,50,0
double,97,29,0
field_out,92.6,8,0
field_out,106.5,60,0
field_out,70.3,-13,0
field_out,90.7,42,0
field_out,98.2,40,0
field_out,77.2,38,0
single,93.8,12,0
single,99.9,14,0
field_out,92.1,49,0
field_out,95,0,0
field_out,89.30000000000001,80,0
single,104.5,15,0
single,80.10000000000001,33,0
field_out,87.80000000000001,40,0
field_out,87.10000000000001,59,0
single,104.3,-8,0
field_out,94.8,34,0
home_run,107.1,23,1
single,102.4,2,0
field_out,94.4,30,0
single,100.7,10,0
field_out,72.8,45,0
single,76.4,17,0
field_out,60.5,53,0
single,71.4,14,0
single,106.7,-6,0
field_out,109.2,19,0
field_out,77.5,-45,0
field_out,100.1,21,0
double,97,23,0
force_out,64.9,-29,0
field_out,75.60000000000001,-2,0
field_out,83.9,4,0
field_out,70.2,66,0
double,107.5,21,0
field_out,98.3,8,0
field_out,89.4,75,0
field_out,88.60000000000001,66,0
field_out,87.2,69,0
single,103.1,14,0
single,96.8,-4,0
